Team A,Team B,map1,map2,map3
Outsiders,Movistar Riders,Inferno,Overpass,Vertigo
Movistar Riders,Sprout,Inferno,Nuke,Ancient
Outsiders,Rare Atom,Inferno,Vertigo,Mirage
ODDIK,Meta BR,Nuke,Inferno,Mirage
Outsiders,Movistar Riders,Inferno,Overpass,Vertigo
ARCTIC,Stars Horizon,Ancient,Mirage,Dust2
Nigma Galaxy,FURIA fe,Dust2,Vertigo,Ancient
Sangal,EC Kyiv,Inferno,Overpass,Mirage
Movistar Riders,Sprout,Inferno,Nuke,Ancient
FURIA fe,NAVI Javelins,Vertigo,Mirage,Nuke
B8,BLUEJAYS,Vertigo,Inferno,Overpass
Outsiders,Rare Atom,Inferno,Vertigo,Mirage
Nigma Galaxy,MIBR fe,Dust2,Vertigo,Inferno
Redragon,Meta BR,Inferno,Dust2,Nuke
HEET,Bad News Eagles,Nuke,Inferno,Ancient
ODDIK,Rehl,Dust2,Ancient,Mirage
CLG Red,MIBR fe,Vertigo,Inferno,Overpass
Sprout,00NATION,Dust2,Overpass,Vertigo
EC Kyiv,BLUEJAYS,Dust2,Mirage,Inferno
Bad News Eagles,SINNERS,Vertigo,Mirage,Ancient
BIG EQUIPA,NAVI Javelins,Nuke,Inferno,Dust2
MIBR,Rare Atom,Inferno,Overpass,Mirage
ex-MAD Lions,HEET,Dust2,Nuke,Ancient
Sangal,B8,Ancient,Vertigo,Dust2
MIBR fe,GODSENT fe,Dust2,Nuke,Overpass
00NATION,FURIA,Ancient,Vertigo,Inferno
The Union,Stars Horizon,Ancient,Dust2,Vertigo
Rare Atom,HUMMER,Mirage,Nuke,Inferno
Mindfreak,NAVI Javelins,Inferno,Vertigo,Mirage
BIG Academy,Cryptova,Overpass,Dust2,Mirage
Iron Branch,B8,Nuke,Inferno,Vertigo
ARCTIC,B4,Dust2,Ancient,Inferno
AGO,PACT,Ancient,Inferno,Vertigo
MASONIC,Sangal,Inferno,Overpass,Dust2
Complexity,SINNERS,Vertigo,Inferno,Overpass
Outsiders,Sprout,Vertigo,Mirage,Nuke
FURIA fe,CLG Red,Mirage,Overpass,Vertigo
Nigma Galaxy,BIG EQUIPA,Overpass,Overpass,Nuke
MIBR,Movistar Riders,Nuke,Overpass,Inferno
UNGENTIUM,FLET,Ancient,Overpass,Vertigo
BLUEJAYS,Tricked,Mirage,Mirage,Overpass
FURIA,Sprout,Inferno,Nuke,Mirage
Eternal Fire,ex-MAD Lions,Mirage,Ancient,Nuke
GODSENT fe,CLG Red,Mirage,Dust2,Mirage
00NATION,Outsiders,Inferno,Inferno,Dust2
FURIA fe,MIBR fe,Mirage,Overpass,Inferno
Into the Breach,EC Kyiv,Vertigo,Mirage,Inferno
NAVI Javelins,BIG EQUIPA,Dust2,Vertigo,Mirage
HUMMER,Movistar Riders,Nuke,Nuke,Ancient
MIBR,Rare Atom,Overpass,Mirage,Dust2
Nigma Galaxy,Mindfreak,Inferno,Ancient,Nuke
Luxe,Detonate,Mirage,Overpass,Mirage
Victorum,Northern Forces,Nuke,Dust2,Mirage
BIG,FaZe,Dust2,Dust2,Ancient
HEET,MASONIC,Overpass,Inferno,Vertigo
forZe,ECLOT,Inferno,Dust2,Ancient
EC Kyiv,BLUEJAYS,Mirage,Inferno,Mirage
Apeks,SKADE,Mirage,Dust2,Nuke
Bad News Eagles,Finest,Vertigo,Dust2,Overpass
OneTap,KTRL,Nuke,Dust2,Ancient
fnatic,ex-MAD Lions,Mirage,Nuke,Vertigo
FaZe,Astralis,Overpass,Dust2,Inferno
Nexus,KTRL,Inferno,Nuke,Dust2
Nemiga,SKADE,Inferno,Mirage,Nuke
Finest,Enterprise,Inferno,Inferno,Dust2
Bad News Eagles,ECSTATIC,Vertigo,Nuke,Overpass
BIG,Cloud9,Dust2,Inferno,Nuke
UNGENTIUM,EC Kyiv,Vertigo,Dust2,Nuke
OneTap,KTRL,Vertigo,Nuke,Mirage
Apeks,ex-MAD Lions,Mirage,Ancient,Inferno
PACT,EC Kyiv,Ancient,Overpass,Mirage
MASONIC,UNGENTIUM,Vertigo,Ancient,Dust2
Philadelphia Liberty,Northern Forces,Inferno,Ancient,Mirage
Detonate,Snakes Den,Mirage,Vertigo,Ancient
allStars,Nexus,Default,Inferno,Mirage
Into the Breach,UNGENTIUM,Vertigo,Ancient,Dust2
SKADE,MASONIC,Nuke,Overpass,Nuke
forZe,Astralis,Mirage,Inferno,Nuke
Nexus,KTRL,Mirage,Dust2,Vertigo
ECSTATIC,ex-MAD Lions,Ancient,Dust2,Overpass
BIG Academy,FLET,Overpass,Vertigo,Mirage
VP.Prodigy,Apeks,Dust2,Mirage,Inferno
ENCE,FaZe,Ancient,Vertigo,Inferno
OneTap,allStars,Overpass,Mirage,Dust2
fnatic,Bad News Eagles,Nuke,Mirage,Vertigo
ECSTATIC,SINNERS,Overpass,Dust2,Ancient
EC Kyiv,UNGENTIUM,Vertigo,Dust2,Nuke
PACT,MASONIC,Vertigo,Overpass,Ancient
Luxe,Davenport University,Vertigo,Mirage,Inferno
ONET4P,Victorum,Overpass,Ancient,Mirage
BLUEJAYS,BIG Academy,Mirage,Vertigo,Inferno
